CodigoInterno,NombreInvima,DescripcionComercial,PrincipioActivo,CodigoInvima,Cum
2716,FENOVAS®10 MG,PRESENTACION INSTITUCIOINAL: CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA CON FORMA DE DOSIFICACIÓN UNIGEL. EN EMPAQUE INDIVIDUAL TIPO BLÍSTER STAR FLEX TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.,ROSUVASTATINA,INVIMA 2022M-0018323-R1,20109641-5
2717,FENOVAS®10 MG,PRESENTACION INSTITUCIOINAL: CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA CON FORMA DE DOSIFICACIÓN UNIGEL. EN EMPAQUE INDIVIDUAL TIPO BLÍSTER STAR FLEX TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.,UNA TABLETA RECUBIERTAEN EL INTERIOR DE LA CÁPSULA BLANDACONACIDO FENOFIBRICO,INVIMA 2022M-0018323-R1,20109641-5
2718,FENOVAS®20 MG,PRESENTACIÓN INSTITUCIONAL: CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA CON FORMA DE DOSIFICACIÓN UNIGEL EN EMPAQUE INDIVIDUAL TIPO BLÍSTER STAR FLEX TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.,CADA CAPSULA BLANDA CONTIENE ÁCIDO FENOFÍBRICO,INVIMA 2022M-0017377-R1,20109639-5
2719,FENOVAS®20 MG,PRESENTACIÓN INSTITUCIONAL: CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA CON FORMA DE DOSIFICACIÓN UNIGEL EN EMPAQUE INDIVIDUAL TIPO BLÍSTER STAR FLEX TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.,CADA CÁPSULA BLANDA CONTIENE ROSUVASTATINA,INVIMA 2022M-0017377-R1,20109639-5
2720,SALYDRAT® POLVO,CAJA CON 50 SOBRES DE TRILAMINADO (PET TRANSPARENTE - PP METALIZADO - PEBD TRANSPARENTE) X 20.6 G DE POLVO CADA UNO (SABOR TUTTY FRUTTY).,CITRATO TRISÓDICO DIHIDRATO,INVIMA 2021M-0003190-R2,19942966-2
2721,SALYDRAT® POLVO,CAJA CON 50 SOBRES DE TRILAMINADO (PET TRANSPARENTE - PP METALIZADO - PEBD TRANSPARENTE) X 20.6 G DE POLVO CADA UNO (SABOR TUTTY FRUTTY).,CLORURO DE SODIO,INVIMA 2021M-0003190-R2,19942966-2
2722,SALYDRAT® POLVO,CAJA CON 50 SOBRES DE TRILAMINADO (PET TRANSPARENTE - PP METALIZADO - PEBD TRANSPARENTE) X 20.6 G DE POLVO CADA UNO (SABOR TUTTY FRUTTY).,CLORURO DE POTASIO,INVIMA 2021M-0003190-R2,19942966-2
2723,SALYDRAT® POLVO,CAJA CON 50 SOBRES DE TRILAMINADO (PET TRANSPARENTE - PP METALIZADO - PEBD TRANSPARENTE) X 20.6 G DE POLVO CADA UNO (SABOR TUTTY FRUTTY).,DEXTROSA ANHIDRA,INVIMA 2021M-0003190-R2,19942966-2
2724,ROSUFEN 10-135,ACIDO FENOFIBRICO 135 MG/ROSUVASTATINA 10 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (ROSUFEN) CAPSULA 1U / CAJA X 30. CAJA X 30 CÁPSULAS DE GELATINA DURA: 3 BLÍSTER. EN ALUMINIO PLATEADO / PVC-PVDC BLANCO X 10 CÁPSULAS CADA UNO.,ROSUVASTATINA CÁLCICA. 10.417 MG. EQUIVALENTE A ROSUVASTATINA BASE,INVIMA 2022M-0020798,20218880-2
2725,ROSUFEN 10-135,ACIDO FENOFIBRICO 135 MG/ROSUVASTATINA 10 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (ROSUFEN) CAPSULA 1U / CAJA X 30. CAJA X 30 CÁPSULAS DE GELATINA DURA: 3 BLÍSTER. EN ALUMINIO PLATEADO / PVC-PVDC BLANCO X 10 CÁPSULAS CADA UNO.,PELLETS DE FENOFIBRATO DE COLINA29%. 465.53 MG. EQUIVALENTE A ÁCIDO FENOFIBRICO,INVIMA 2022M-0020798,20218880-2
2726,SULPITAM ®,CAJA POR 10 FRASCOS VIAL DE VIDRIO TRANSPARENTE TIPO I CON TAPON DE HULE GRIS Y SELLO DE ALUMINIO VERDE (1.5 G / VIAL).,(AMPICILINA SODICA + SULBACTAM SODICO)EQUIVALENTE A AMPICILINA BASE 1 G + SULBACTAM BASE 0.5 G,INVIMA 2020M-0019900,20162322-3
2727,AMPIDELT®,CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO III CON TAPÓN DE GOMA GRIS DE BUTILO Y SELLO FLIP OFF GRIS.,SULBACTAM SÓDICO EQUIVALENTE A SULBACTAM,INVIMA 2023M-0013361-R2,20036512-2
2728,AMPIDELT®,CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO III CON TAPÓN DE GOMA GRIS DE BUTILO Y SELLO FLIP OFF GRIS.,AMPICILINA SÓDICAEQUIVALENTE A AMPICILINA,INVIMA 2023M-0013361-R2,20036512-2
2729,APOTOX ® CAPSULAS DURAS,CAJA POR 20 CAPSULAS DURAS EN BLISTER DE PVC/PE/PVDC TRANSPARENTE/ALUMINIO POR 10 CAPSULAS DURAS CADA UNO.,SILIMARINA,INVIMA 2022M-0001033-R2,19926777-1
2730,GEMFIBROZILO 600MG TABLETAS,CAJA PLEGADIZA POR 20 TABLETAS EN BLÍSTER PVC/PVDC/ALUMINIO POR 10 TABLETAS CADA UNO.,GEMFIBROZILO,INVIMA 2020M-011744-R3,36269-2
2731,IMFINZI® 50 MG/ML CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN,CAJA X 1 VIAL CON 10 ML DE CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN CONTENIENDO 500 MG DE DURVALUMAB.,DURVALUMAB,INVIMA 2019MBT-0019214,20143749-1
2732,IMFINZI® 50 MG/ML CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN,CAJA X 1 VIAL CON 2.4 ML DE CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN CONTENIENDO 120MG DE DURVALUMAB.,DURVALUMAB,INVIMA 2019MBT-0019214,20143749-3
2733,TRIMETOPRIM SULFA 40MG / 200MG / 5ML SUSPENSIÓN,FRASCO DE VIDRIO TIPO III AMBAR POR 60 ML.,TRIMETOPRIM MICRONIZADO EQUIVALENTE TRIMETOPRIM (EXCESO 4%),INVIMA 2022M-006179-R4,20679-1
2734,TRIMETOPRIM SULFA 40MG / 200MG / 5ML SUSPENSIÓN,FRASCO DE VIDRIO TIPO III AMBAR POR 60 ML.,SULFAMETOXAZOL (EXCESO 4%),INVIMA 2022M-006179-R4,20679-1
2735,PIPERACILINA 4000 MG Y TAZOBACTAM 500 MG,PRESENTACIÓN COMERCIAL: CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO I TRANSPARENTE,PIPERACILINA SÓDICA EQUIVALENTE A PIPERACILINA,INVIMA 2020M-19700,20152991-1
2736,PIPERACILINA 4000 MG Y TAZOBACTAM 500 MG,PRESENTACIÓN COMERCIAL: CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO I TRANSPARENTE,TAZOBACTAM SÓDICO EQUIVALENTE A TAZOBACTAM,INVIMA 2020M-19700,20152991-1
2737,MINOXIDIL FORTE 5%,PRESENTACION INSTITUCIONAL:SIN DATOCAJA PLEGADIZASIN DATOCON FRASCO X 60 MLSIN DATOCON VALVULA,MINOXIDIL,INVIMA 2022M-0016470-R1,20096391-3
2738,SILDENAFILO 50MG TABLETAS RECUBIERTAS,CAJA CON BLÍSTER DE PVC 250 MICRONES X 134 MM /ALUMINIO POR DOS (2) TABLETAS RECUBIERTAS EN CAJA.,SILDENAFILO CITRATO 70.238 MG EQUIVALENTE A SILDENAFILO BASE 50 MG,INVIMA 2023M-0008869-R2,19993835-3
2739,GELPIN®,CAJA X 2 CÁPSULAS BLANDAS DE GELATINA. EN BLÍSTER PVC-PVDC INCOLORO TRANSPARENTE/ALUMINIO X 2 CÁPSULAS BLANDAS DE GELATINA.,SILDENAFILO CITRATO 70.2400 MGEQUIVALENTES A SILDENAFILO BASE,INVIMA 2022M-0003937-R2,19947342-1
2740,BALANCEFORTE,2C1005911001102 CAFEINA 65 MG/PARACETAMOL 325 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (BALANCE FORTE) TABLETA 1 U / CAJA X 30 / CAJA PLEGADIZA POR 30 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO (3 BLISTER POR 10 TABLETAS),CAFEINA ANHIDRA.,INVIMA 2021M-0020514,20199319-3
2741,BALANCEFORTE,2C1005911001102 CAFEINA 65 MG/PARACETAMOL 325 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (BALANCE FORTE) TABLETA 1 U / CAJA X 30 / CAJA PLEGADIZA POR 30 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO (3 BLISTER POR 10 TABLETAS),**COMPRESO PAP 90 CPF 361.11 MG EQUIVALENTE A ACETAMINOFEN . ** (COMPONENTES COMPRESO PAP 90 CPF ( ACETAMINOFEN 90%. ALMIDON PREGELATINIZADO 7.10%. PVP K-30 1.40%. CROSPOVIDONA 1.00%. ACIDO ESTEARICO 0.50%),INVIMA 2021M-0020514,20199319-3
2742,MEGAFIVE,1F1012871001100: CAJA CON UN FRASCO VIAL DE VIDRIO TIPO I ÁMBAR X 20 ML CON TAPÓN DE BROMOBUTILO GRIS. SELLO DE ALUMINIO Y TAPA FLIP OFF DE POLIPROPILENO AZUL.,FLUOROURACILO,INVIMA 2019M-0018747,20133414-1
2743,KYLEENA®,CAJA POR 1 ENDORECEPTOR (DISPOSITIVO DE ADMINISTRACIÓN) Y UN ENDOCEPTIVO CON LEVONORGESTREL EN BLÍSTER DE PETG,LEVONORGESTREL MICRONIZADO,INVIMA 2023M-0018405-R1,20104320-1
2744,JAYDESS®,USO INSTITUCIONAL: CAJA POR 1 ENDOCEPTOR (DISPOSITIVO DE ADMINISTRACIÓN Y UN ENDOCEPTIVO CON LEVONORGESTREL) EN BLISTER/ PE PETG,LEVONORGESTREL MICRONIZADO,INVIMA 2023M-0014939-R1,20046501-3
2745,VITAMINA C GOTAS 100MG/ML,ENVASE CILINDRICO PLASTICO EN POLIETILENO TEREFTALATO (PET) COLOR BLANCO. CON SUBTAPA EN POLIETILENO DE BAJA DENSIDAD (PEBD) COLOR NATURAL Y TAPA PET COLOR ROJO X 30ML.,ACIDO ASCORBICO 76.1 MG + ASCORBATO DE SODIO 35.0 MGEQUIVALENTES A VITAMINA C,INVIMA 2020M-007156-R3,21740-3
2746,SISPRAD® 50MG TABLETAS,CAJA POR 20 TABLETAS. 2 BLISTER (PVC TRANSPARENTE INCOLORO / FOIL ALUINIO. POR 10 TABLETAS EN CADA BLISTER.,ALIZAPRIDA CLORHIDRATO EQUIVALENTE A ALIZAPRIDA BASE,INVIMA 2021M-0020003,20166399-2
2747,CIALIS® 5 MG,CAJA POR 28 COMPRIMIDOS RECUBIERTOS,TADALAFIL,INVIMA 2009M-0010165,20007296-1
2748,VAYAPLIN® 5 MG,IUM 1T1006511009100SIN DATOCAJA POR 14 TABLETAS RECUBIERTAS EN BLISTER ALU/STARFLEX POR 14 TABLETAS RECUBIERTAS.,TADALAFILO,INVIMA 2023M-0018924-R1,20153561-2
2749,VAYAPLIN® 20 MG.,IUM 1T1001671015102 CAJA POR 4 TABLETAS RECUBIERTAS EN BLISTER ALU/FILL ACLAR POR 4 TABLETAS RECUBIERTAS.,TADALAFILO,INVIMA 2023M-0018925-R1,20153563-5
2750,EFFIENT® 10 MG,CAJA POR 28 COMPRIMIDOS RECUBIERTOS EN BLISTER DE ALUMINIO DE FORMADO (CFF),CLORHIDRATO DE PRASUGREL 10.98 MG EQUIVALENTE A PRASUGREL BASE,INVIMA 2022M-0010321-R1,20006437-1
2751,TAFLAX®FORTE TABLETAS RECUBIERTAS,CAJA POR 10SIN DATOTABLETAS EN BLISTER EN ALUMINIO-PVC/PVDC TRANSPARENTE DENTRO DE BOLSA LAMINADA DE POLIETILENO-ALUMINIO-POLIESTER POR 10 TABLETAS CADA UNO.,ACETAMINOFEN DE COMPRESIÓN DIRECTA AL 90% EQUIVALENTE A ACETAMINOFEN,INVIMA 2022M-0017895-R1,20073105-15
2752,TAFLAX®FORTE TABLETAS RECUBIERTAS,CAJA POR 10SIN DATOTABLETAS EN BLISTER EN ALUMINIO-PVC/PVDC TRANSPARENTE DENTRO DE BOLSA LAMINADA DE POLIETILENO-ALUMINIO-POLIESTER POR 10 TABLETAS CADA UNO.,DEXIBUPROFENO,INVIMA 2022M-0017895-R1,20073105-15
2753,TAFLAX®FORTE TABLETAS RECUBIERTAS,CAJA POR 10SIN DATOTABLETAS EN BLISTER EN ALUMINIO-PVC/PVDC TRANSPARENTE DENTRO DE BOLSA LAMINADA DE POLIETILENO-ALUMINIO-POLIESTER POR 10 TABLETAS CADA UNO.,CAFEINA ANHIDRA,INVIMA 2022M-0017895-R1,20073105-15
2754,FORTEO® 250MCG/ML,ENVASE DE 1 INYECTOR (DISPOSITIVO) PRELLENADO DE 2.4 ML CON 250 MCG/ML DE TERIPARATIDA.,TERIPARATIDA (ORIGEN ADN RECOMBINANTE),INVIMA 2022MBT-0003264-R2,19941419-2
2755,TRULICITY® 1.5 MG/0.5 ML,CAJA CONTENIENDO CUATROSIN DATOINYECTORESSIN DATO(JERINGA PRELLENADA DE VIDRIO TIPO I TRASPARENTE + AGUJA) CON 0.5 ML C/U,DULAGLUTIDA,INVIMA 2016MBT-0016725,20079057-3
2756,TRULICITY® 0.75 MG/0.5 ML,CAJA CONTENIENDO CUATRO INYECTORES (JERINGA PRELLENADA DE VIDRIO TIPO I TRASPARENTE + AGUJA) CON 0.5 ML,DULAGLUTIDA,INVIMA 2023MBT-0016817-R1,20091274-3
2757,BIOSETT ®,1T1011361002101SIN DATOSIN DATO TERIPARATIDA 0.2500 MG OTRAS SOLUCIONES SUBCUTANEA (BIOSETT) JERINGA 0.0800ML / CAJA X 30 Y/O CAJA CON 30 JERINGAS DE VIDRIO TIPO I CON 0.08 MLSIN DATODE SOLUCIÓN DE TERIPARATIDE (20MCG) C/U MÁS INSERTO.,TERIPARATIDA (ORIGEN ADN RECOMBINANTE),INVIMA 2018M-0018175,20100066-3
2758,CYRAMZA®,CAJA CON UN (1) VIAL DE VIDRIO TIPO I . CON TAPÓN ELASTOMÉRICO DE CLOROBUTILO POR 50 ML,RAMUCIRUMAB,INVIMA 2018M-0018666,20111011-2
2759,CYRAMZA®,CAJA CON UN (1) VIAL DE VIDRIO TIPO I . CON TAPÓN ELASTOMÉRICO DE CLOROBUTILO POR 10 ML,RAMUCIRUMAB,INVIMA 2018M-0018666,20111011-1
2760,TALTZ,IXEKIZUMAB 80.0000 MG OTRAS SOLUCIONES SUBCUTANEA (TALTZ) APLICADOR 1.0000ML / CAJA X 1 (NA),IXEKIZUMAB,INVIMA 2017MBT-0017881,20112702-1
2761,ZYPREXA® 10 MG TABLETAS RECUBIERTAS,CAJA POR 14 TABLETAS EN BLISTER ALUMINIO/ ALUMINIO.,OLANZAPINA,INVIMA 2019M-006467-R2,210771-2
2762,MACITENTAN 10 MG,CAJA PLEGADIZA EN 2 BLISTER PVC/PE/PVDC BLANCO ALUMINIO POR 15 TABLETAS RECUBIERTAS POR 10 MGSIN DATOC/U,MACITENTAN,INVIMA 2021M-0020415,20197193-2
2763,KAIROS PF® SOLUCIÓN OFTÁLMICA,FRASCO EN POLIETILENO DE BAJA DENSIDAD. POR 5 ML. CON BOQUILLA PROVISTA DE UNA VÁLVULASIN DATODE SILICONA DE COLOR AZUL Y TAPA POLIETILENO DE ALTA DENSIDAD DE COLOR BLANCO. EN CAJA PLEGADIZA POR UNA UNIDAD,LATANOPROST,INVIMA 2019M-0018966,20134226-1
2764,ETORIMED ® 60 MG TABLETA RECUBIERTA,CAJA POR 14 TABLETAS RECUBIERTAS EN BLISTER (PVC/TE/PVDC) INCOLORO / FOIL ALUMINIO,ETORICOXIB,INVIMA 2016M-0017027,20084847-2
2765,ETORIMED 120 MG TABLETAS RECUBIERTAS,CAJA POR 7 TABLETAS RECUBIERTAS EN BLÍSTER PVC/TE/PVDC INCOLORO TRANSPARENTE / FOIL ALUMINIO,ETORICOXIB,INVIMA 2023M-0018351-R1,20120491-1
2766,ETORIMED® 90 MG TABLETA RECUBIERTA,CAJA POR 14 TABLETAS RECUBIERTAS EN BLISTER (PVC/TE/PVDC) INCOLORO / FOIL ALUMINIO,ETORICOXIB,INVIMA 2016M-0016921,20084843-2
2767,TORROX ®.60 MG,IUM:1E1005181006101 CAJA PLEGADIZA DE CARTON CON 1 BLISTER DE ALUMINIO/ALUMINIO POR 10 TABLETAS CADA UNO,ETORICOXIB,INVIMA 2019M-0018897,20135125-2
2768,OMNIDOL® 120 MG,CAJA POR 10 COMPRIMIDOS RECUBIERTOS CONTIENE 1 (UN) BLÍSTER DE ALUMINIO/ALUMINIO X 10 COMPRIMIDOS RECUBIERTOS.,ETORICOXIB,INVIMA 2021M-0020185,20162428-7
2769,OMNIDOL® 90 MG,1E1004991011102: CAJA POR 10 COMPRIMIDOS RECUBIERTOS CONTIENE 1 (UNO) BLÍSTER DE ALUMINIO/ALUMINIO X 10 COMPRIMIDOS RECUBIERTOS.,ETORICOXIB,INVIMA 2021M-0020185,20162428-13
2770,OMNIDOL® 60 MG,1E1005181015105: CAJA POR 10 COMPRIMIDOS RECUBIERTOS CONTIENE 1 (UNO) BLÍSTER DE ALUMINIO/ALUMINIO X 10 COMPRIMIDOS RECUBIERTOS.,ETORICOXIB,INVIMA 2021M-0020185,20162428-8
2771,METOCARBAMOL 750 MG TABLETAS,CAJA MULTIPLE Y/O DISPENSADORA POR 250 TABLETAS EN BLISTER PVC TRANSPARENTE/ ALUMINIO-,METOCARBAMOL,INVIMA 2019M-0000517-R2,19920205-5
2772,METFORMINA850 MG TABLETAS,CAJA POR 30 TABLETAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 10,895 MG DE GRANULOS PARA COMPRESION DIRECTA DE METFORMINA EQUIVALENTE A METFORMINA HCL,INVIMA 2022M-0002020-R2,19932854-3
2773,VYNDAMAX ® 61MG CÁPSULAS,1T1036931000100 TAFAMIDIS 61.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (VYNDAMAX) CAPSULA 1.0000U / CAJA X 30 (NA). CAJA POR 30 CÁPSULAS BLANDAS CONTENIDAS EN 3 BLÍSTER ALU/ALU (10 CÁPSULAS POR BLÍSTER),TAFAMIDIS,INVIMA 2022M-0020673,20197411-1
2774,TRIMEBUTINA 200MG TABLETAS,CAJA PORSIN DATOSIN DATO20SIN DATOTABLETAS EN BLISTER ALUMINIO-PVC TRANSPARENTE.,TRIMEBUTINAMALEATO,INVIMA 2022M-0008233-R1,19985417-2
2775,NIOGERMOX®,CAJA PLEGADIZA CON FRASCO POR 3.3 ML EN VIDRIO TRANSPARENTE TIPO III,CICLOPIROX,INVIMA 2017M-0017658,20102482-1
2776,FIXAMICIN CLEAN ® 6.5 %,CAJA PLEGADIZA CON 1 FRASCO GOTERO PEBD BLANCOSIN DATOMAS SUBTAPA CAPILAR EN PEBD Y TAPA DE SEGURIDAD GOTERO EL PP POR 15 ML .,PEROXIDO DE CARBAMIDA,INVIMA 2022M-0017918-R1,20108682-1
2777,TAMSECOX 0.4 MG CAPSULA DE LIBERACIÓN MODIFICADA,CAJA POR 30 CÁPSULAS EN BLISTER PVDC/TE/PVC INCOLORO/ FOIL ALUMINIO. BLISTER POR 10 CÁPSULAS,TAMSULOSINA CLORHIDRATO,INVIMA 2016M-0016775,20064702-3
2778,BROCRIPTIN® 5MG/2.5MG,IUM 2L1002761003103: LEVOCETIRIZINA 2.5000 MG/MONTELUKAST 5.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (BROCRIPTIN) TABLETA 1.0000U / CAJA X 30. CAJA POR 30 TABLETAS MASTICABLES EN BLÍSTER LAMINADO ALU/ALU POR 6 TABLETAS MASTICABLES.,MONTELUKAST MONOSODICO EQUIVALENTE A MONTELUKAST BASE,INVIMA 2019M-0018869,20151816-17
2779,BROCRIPTIN® 5MG/2.5MG,IUM 2L1002761003103: LEVOCETIRIZINA 2.5000 MG/MONTELUKAST 5.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (BROCRIPTIN) TABLETA 1.0000U / CAJA X 30. CAJA POR 30 TABLETAS MASTICABLES EN BLÍSTER LAMINADO ALU/ALU POR 6 TABLETAS MASTICABLES.,LEVOCETIRIZINA DICLORHIDRATO,INVIMA 2019M-0018869,20151816-17
2780,GLEMONT L® TABLETAS RECUBIERTAS,2L1002771001100: CAJA POR FRASCO DE PP CON 28 TABLETAS RECUBIERTAS MÁS INSERTO,MONTELUKAST SODIO EQUIVALENTE A MONTELUKAST,INVIMA 2018M-0018450,20142847-3
2781,GLEMONT L® TABLETAS RECUBIERTAS,2L1002771001100: CAJA POR FRASCO DE PP CON 28 TABLETAS RECUBIERTAS MÁS INSERTO,LEVOCETIRIZINADIHIDROCLORURO,INVIMA 2018M-0018450,20142847-3
2782,PULLMOGUAT® 1 MG TABLETA RECUBIERTA,1R1036211000100. CAJA POR 42 TABLETAS RECUBIERTAS EN 3 Ó 6 BLÍSTER EN ALUMINIO / ALUMINIO (OPA-ALUMINIO-PVC / ALUMINIO) POR 14 Ó 7 TABLETAS RECUBIERTAS C/U.,RIOCIGUAT,INVIMA 2021M-0020252,20190766-1
2783,PULLMOGUAT® 1.5 MG TABLETA RECUBIERTA,1R1036221000101. CAJA POR 84 TABLETAS RECUBIERTAS EN 6 Ó 12 BLÍSTER EN ALUMINIO / ALUMINIO (OPA-ALUMINIO-PVC / ALUMINIO) POR 14 Ó 7 TABLETAS RECUBIERTAS C/U.,RIOCIGUAT,INVIMA 2021M-0020253,20190770-2
1,AVONEX®INTERFERON BETA-1A JERINGA PRELLENADA,CAJA PLEGADIZA CON 4 BANDEJAS DE TEREFTALATO DE POLIETILENGLICOL. CADA UNA CON UNA JERINGA PRELLENADA DISEÑO LUER LOCK DE VIDRIO TIPO I CON TAPON DE BROMOBUTILO GRIS PRESILICONADO Y UN CIERRE OVS.SIN DATOMAS 4 AGUJAS DE 1 1/4 Y 23G INDIVIDUAL.,INTERFERON BETA-1A (ADN RECOMBINANTE) 6´000.000 UI,INVIMA 2019M-0007304-R1,19977936-3
2,DAXIM® 2.5 MG / ML,CAJA POR UN VIAL DE VIDRIO TIPO I. INCOLORO- TAPON DE CAUCHOSIN DATOBROMOBUTILO CUBIERTO CON FLUOROPOLIMERO POR 5 ML DE SOLUCIÓN.,LEVOSIMENDAN,INVIMA 2023M-0001639-R3,19929840-1
3,PLEGRIDY® 125 MCG,CAJA CONTENIENDO DOS JERINGAS PRELLENADAS DE VIDRIO TIPO I Y EMBOLO GRIS DE BROMOBUTILO CON 0.5ML DE SOLUCIÓN INYECTABLE. CADA JERINGA TIENE INTEGRADO UNA AGUJA DE 29G DE ACERO INOXIDABLE Y UNA CUBIERTA RIGIDA PARA LA AGUJA. COMPUESTASIN DATOPOR ELASTOMERO TERMO,PEGINTERFERON BETA-1A,INVIMA 2017MBT-0017569,20084464-1
4,KLARICID,CAJA CON UN FRASCO DE POLIETILENO DE ALTA DENSIDAD CON TAPA CON TAPA PLÁSTICA DE POLIPROPILENO PILFER PROOF X 50 ML.,CLARITROMICINA,INVIMA 2021M-001008-R3,52435-1
